contract,model,R_raw,R_anchor_pre,R_anchor_post,Delta_rescue,R_behavioral,R_structural
binary_search_strict,claude-sonnet-4-5-20250929,1.0,0.0,0.0,0.0,1.0,1.0
binary_search,claude-sonnet-4-5-20250929,0.6666666666666666,0.0,0.0,0.0,1.0,0.6666666666666666
factorial,claude-sonnet-4-5-20250929,0.6666666666666666,0.0,0.0,0.0,1.0,0.6666666666666666
fibonacci_basic,claude-sonnet-4-5-20250929,1.0,0.0,0.0,0.0,1.0,1.0
fibonacci_basic,claude-sonnet-4-5-20250929,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,0.6666666666666666
fibonacci_recursive,claude-sonnet-4-5-20250929,1.0,1.0,1.0,0.0,1.0,1.0
gcd,claude-sonnet-4-5-20250929,1.0,0.0,0.0,0.0,1.0,1.0
is_palindrome,claude-sonnet-4-5-20250929,1.0,0.0,0.0,0.0,1.0,1.0
is_prime_strict,claude-sonnet-4-5-20250929,0.6666666666666666,0.0,0.0,0.0,1.0,0.6666666666666666
is_prime,claude-sonnet-4-5-20250929,1.0,0.0,0.0,0.0,1.0,1.0
lru_cache_strict,claude-sonnet-4-5-20250929,0.6666666666666666,0.0,0.0,0.0,1.0,0.6666666666666666
lru_cache,claude-sonnet-4-5-20250929,0.6666666666666666,0.0,0.0,0.0,1.0,0.6666666666666666
merge_sort,claude-sonnet-4-5-20250929,0.6666666666666666,0.0,0.0,0.0,1.0,1.0
quick_sort,claude-sonnet-4-5-20250929,1.0,0.0,0.0,0.0,1.0,1.0
slugify,claude-sonnet-4-5-20250929,1.0,0.0,0.0,0.0,1.0,1.0
