contract,claude_R_raw,claude_R_anchor_pre,claude_R_anchor_post,claude_Delta_rescue,claude_R_behavioral,claude_R_structural,gpt_R_raw,gpt_R_anchor_pre,gpt_R_anchor_post,gpt_Delta_rescue,gpt_R_behavioral,gpt_R_structural
is_palindrome,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
is_prime,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
fibonacci_basic,0.667,0.667,0.667,0.0,1.0,0.667,0.333,0.333,0.333,0.0,1.0,0.333
lru_cache_strict,0.667,0.0,0.0,0.0,1.0,0.667,1.0,1.0,1.0,0.0,1.0,1.0
factorial,0.667,0.0,0.0,0.0,1.0,0.667,1.0,1.0,1.0,0.0,1.0,1.0
merge_sort,0.667,0.0,0.0,0.0,1.0,1.0,0.333,0.0,0.0,0.0,1.0,0.333
slugify,1.0,0.0,0.0,0.0,1.0,1.0,0.667,0.667,0.667,0.0,1.0,0.667
balanced_brackets,0.667,0.0,0.0,0.0,1.0,0.667,0.333,0.667,0.667,0.0,1.0,0.667
quick_sort,1.0,0.0,0.0,0.0,1.0,1.0,0.667,0.667,0.667,0.0,1.0,0.667
is_prime_strict,0.667,0.0,0.0,0.0,1.0,0.667,1.0,1.0,1.0,0.0,1.0,1.0
binary_search_strict,1.0,0.0,0.0,0.0,1.0,1.0,0.667,1.0,1.0,0.0,1.0,1.0
fibonacci_recursive,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
lru_cache,0.667,0.0,0.0,0.0,1.0,0.667,0.667,0.0,0.0,0.0,1.0,0.667
binary_search,0.667,0.0,0.0,0.0,1.0,0.667,0.667,0.0,0.0,0.0,1.0,1.0
gcd,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
