experiment_id,contract_id,temperature,total_runs,successful_runs,R_raw,R_behavioral,R_structural,behavioral_improvement,structural_improvement,hypothesis_supported,timestamp
fibonacci_basic_temp1.0_20250929_112629,fibonacci_basic,1.0,5,5,0.800,1.000,0.800,0.200,0.000,False,2025-09-29T11:26:29.156888
fibonacci_basic_temp1.0_20250929_114842,fibonacci_basic,1.0,5,5,0.400,1.000,0.800,0.600,0.400,True,2025-09-29T11:48:42.410893
fibonacci_basic_temp1.0_20250929_115024,fibonacci_basic,1.0,5,5,0.800,1.000,1.000,0.200,0.200,True,2025-09-29T11:50:24.857246
fibonacci_basic_temp1.0_20250929_115958,fibonacci_basic,1.0,5,5,0.400,1.000,0.600,0.600,0.200,True,2025-09-29T11:59:58.940042
fibonacci_basic_temp1.5_20250929_120202,fibonacci_basic,1.5,20,20,0.400,1.000,0.650,0.600,0.250,True,2025-09-29T12:02:02.954370
fibonacci_basic_temp1.5_20250929_121058,fibonacci_basic,1.5,10,10,0.300,1.000,0.300,0.700,0.000,False,2025-09-29T12:10:58.901647
fibonacci_basic_temp1.5_20250929_125118,fibonacci_basic,1.5,10,10,0.400,1.000,0.600,0.600,0.200,True,2025-09-29T12:51:18.386583
fibonacci_basic_temp1.5_20250929_125656,fibonacci_basic,1.5,10,10,0.300,1.000,0.800,0.700,0.500,True,2025-09-29T12:56:56.562107
fibonacci_basic_temp1.5_20250929_134741,fibonacci_basic,1.5,10,10,0.200,1.000,0.400,0.800,0.200,True,2025-09-29T13:47:41.823275
fibonacci_basic_temp1.5_20250929_140002,fibonacci_basic,1.5,10,10,0.500,1.000,0.700,0.500,0.200,True,2025-09-29T14:00:02.826991
