experiment_id,repo_commit,contract_id,canon_id,model,decoding_temperature,runs,timestamp,R_raw,R_anchor_pre,R_anchor_post,Delta_rescue,R_repair_at_0.05_pre,R_repair_at_0.1_pre,R_repair_at_0.15_pre,R_repair_at_0.2_pre,R_repair_at_0.05_post,R_repair_at_0.1_post,R_repair_at_0.15_post,R_repair_at_0.2_post,mean_distance_pre,std_distance_pre,mean_distance_post,std_distance_post,Delta_mu,Delta_P_tau_0.05,Delta_P_tau_0.1,Delta_P_tau_0.15,Delta_P_tau_0.2,canon_coverage,rescue_rate,R_behavioral,R_structural,sweep_id,notes
fibonacci_basic_temp0.5_20251021_190533,unknown,fibonacci_basic,unknown,gpt-4,0.5,10,2025-10-21T19:05:33.037064,0.400,0.800,1.000,0.200,0.800,0.800,0.800,0.800,1.000,1.000,1.000,1.000,0.054,0.107,0.000,0.000,0.054,0.200,0.200,0.200,0.200,1.000,1.000,1.000,0.800,,
fibonacci_basic_temp0.7_20251021_190552,unknown,fibonacci_basic,unknown,gpt-4,0.7,10,2025-10-21T19:05:52.869974,0.600,0.800,1.000,0.200,0.800,0.800,1.000,1.000,1.000,1.000,1.000,1.000,0.030,0.060,0.000,0.000,0.030,0.200,0.200,0.000,0.000,1.000,1.000,1.000,0.800,,
fibonacci_recursive_temp0.3_20251021_191240,unknown,fibonacci_recursive,unknown,gpt-4,0.3,10,2025-10-21T19:12:40.575445,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,,
fibonacci_recursive_temp0.5_20251021_191255,unknown,fibonacci_recursive,unknown,gpt-4,0.5,10,2025-10-21T19:12:55.554435,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,,
slugify_temp0.3_20251021_191903,unknown,slugify,unknown,gpt-4,0.3,10,2025-10-21T19:19:03.997138,0.600,0.600,0.600,0.000,0.600,0.600,0.900,1.000,0.600,0.600,1.000,1.000,0.048,0.060,0.043,0.052,0.005,0.000,0.000,0.100,0.000,1.000,0.000,1.000,0.600,,
slugify_temp0.5_20251021_191920,unknown,slugify,unknown,gpt-4,0.5,10,2025-10-21T19:19:20.662564,0.700,0.700,1.000,0.300,0.700,0.700,0.700,0.700,1.000,1.000,1.000,1.000,0.074,0.113,0.000,0.000,0.074,0.300,0.300,0.300,0.300,1.000,1.000,1.000,0.700,,
slugify_temp0.3_20251021_192127,unknown,slugify,unknown,gpt-4,0.3,10,2025-10-21T19:21:27.614260,0.700,0.100,0.800,0.700,0.100,0.100,0.100,0.100,0.800,0.800,1.000,1.000,0.193,0.064,0.021,0.043,0.171,0.700,0.700,0.900,0.900,1.000,0.778,1.000,0.800,,
slugify_temp0.5_20251021_192142,unknown,slugify,unknown,gpt-4,0.5,10,2025-10-21T19:21:42.487883,0.500,0.100,0.900,0.800,0.100,0.100,0.100,0.100,0.900,0.900,1.000,1.000,0.202,0.070,0.011,0.032,0.192,0.800,0.800,0.900,0.900,1.000,0.889,1.000,0.900,,
balanced_brackets_temp0.3_20251021_192358,unknown,balanced_brackets,unknown,gpt-4,0.3,10,2025-10-21T19:23:58.328724,0.400,0.100,0.200,0.100,0.100,0.100,1.000,1.000,0.200,0.200,1.000,1.000,0.118,0.043,0.104,0.055,0.014,0.100,0.100,0.000,0.000,1.000,0.111,1.000,0.400,,
balanced_brackets_temp0.5_20251021_192421,unknown,balanced_brackets,unknown,gpt-4,0.5,10,2025-10-21T19:24:21.641318,0.300,0.200,0.200,0.000,0.200,0.200,1.000,1.000,0.200,0.200,1.000,1.000,0.101,0.053,0.101,0.053,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.400,,
