prompt_id,temperature,total_runs,R_raw,R_canon,canon_coverage,rescue_delta,contract_pass_rate,oracle_pass_rate,unique_raw_hashes,unique_canon_signatures
anchor_fib_v1,T0.0,10,0.5,0.5,1.0,0.0,1.0,1.0,3,3
anchor_fib_v1,T0.2,10,0.6,0.6,1.0,0.0,1.0,1.0,4,4
slugify_v1,T0.0,10,0.2,0.4,1.0,0.2,1.0,1.0,8,6
slugify_v1,T0.2,10,0.1,0.1,1.0,0.0,1.0,1.0,10,10
slugify_v2,T0.0,10,1.0,1.0,1.0,0.0,1.0,1.0,1,1
slugify_v2,T0.2,10,0.2,0.3,1.0,0.1,1.0,1.0,8,7
csvjson_v1,T0.0,10,0.9,0.9,1.0,0.0,1.0,1.0,2,2
csvjson_v1,T0.2,10,0.9,0.9,1.0,0.0,1.0,1.0,2,2
csvjson_v2,T0.0,10,0.5,0.5,1.0,0.0,1.0,1.0,4,4
csvjson_v2,T0.2,10,0.5,0.5,1.0,0.0,1.0,1.0,5,5
brackets_v1,T0.0,10,0.5,0.6,1.0,0.1,1.0,1.0,3,2
brackets_v1,T0.2,10,0.3,0.6,1.0,0.3,1.0,1.0,5,4
brackets_v2,T0.0,10,0.6,0.6,1.0,0.0,1.0,1.0,4,4
brackets_v2,T0.2,10,0.3,0.3,1.0,0.0,1.0,1.0,7,6
